,0
242,0.9819
243,0.9833
244,0.985275
245,0.987525
246,0.9883
247,0.988525
248,0.98965
249,0.99005
250,0.9916
251,0.99275
252,0.9933
253,0.99275
254,0.994625
255,0.994625
256,0.994525
257,0.9959
258,0.996875
259,0.9968
260,0.996475
261,0.997175
262,0.9976
263,0.99725
264,0.998025
265,0.998425
266,0.9985
267,0.9986
268,0.99885
269,0.998575
270,0.99925
271,0.99905
272,0.999125
273,0.999325
274,0.9993
275,0.9995
276,0.999325
277,0.9995
278,0.9997
279,0.9996
280,0.999575
281,0.99975
282,0.999525
283,0.9998
284,0.9997
285,0.9998
286,0.99985
287,0.999925
288,0.99985
289,0.9999
290,0.99985
291,0.999975
292,0.999925
293,0.999925
294,0.99995
295,0.99995
296,0.99995
297,0.999975
298,0.99995
299,0.99995
300,0.0013
301,0.0026
302,0.00455
303,0.00655
304,0.00935
305,0.013175
306,0.018975
307,0.032375
308,0.0688
309,0.148675
310,0.285775
311,0.4473
312,0.601925
313,0.7181
314,0.7859
315,0.82655
316,0.849275
317,0.8639
318,0.871875
319,0.882875
320,0.890125
321,0.898725
322,0.906475
323,0.91115
324,0.917
325,0.92215
326,0.928725
327,0.934375
328,0.93775
329,0.94475
330,0.949225
331,0.95375
332,0.955575
333,0.95825
334,0.962625
335,0.9654
336,0.96895
337,0.973025
338,0.97425
339,0.9762
340,0.978175
341,0.980875
342,0.9822
343,0.984625
344,0.984925
345,0.98715
346,0.988075
347,0.988975
348,0.9895
349,0.9911
350,0.99225
351,0.99285
352,0.993975
353,0.993575
354,0.994875
355,0.994725
356,0.9957
357,0.9963
358,0.996675
359,0.9969
360,0.9966
361,0.9971
362,0.997975
363,0.997875
364,0.9979
365,0.998325
366,0.99845
367,0.998675
368,0.99835
369,0.998725
370,0.99905
371,0.998875
372,0.999025
373,0.999225
374,0.99945
375,0.9996
376,0.9994
377,0.999575
378,0.9995
379,0.99955
380,0.99965
381,0.9997
382,0.999725
383,0.9996
384,0.99985
385,0.999825
386,0.99975
387,0.99985
388,0.9999
389,0.999875
390,0.999875
391,0.999875
392,0.9999
393,0.99985
394,0.999975
395,0.999975
396,1.0
397,0.999975
398,1.0
399,0.99995
400,0.001175
401,0.002325
402,0.0049
403,0.006875
404,0.00965
405,0.0144
406,0.02055
407,0.0355
408,0.0773
409,0.1708
410,0.314725
411,0.476525
412,0.6246
413,0.733575
414,0.7987
415,0.832725
416,0.852
417,0.86595
418,0.876125
419,0.8836
420,0.8928
421,0.89985
422,0.9043
423,0.912725
424,0.921125
425,0.92545
426,0.929775
427,0.9358
428,0.9397
429,0.946125
430,0.948175
431,0.9523
432,0.957225
433,0.960875
434,0.96555
435,0.966725
436,0.97145
437,0.9709
438,0.9748
439,0.97815
440,0.97995
441,0.98175
442,0.982475
443,0.985
444,0.986575
445,0.987425
446,0.9878
447,0.989025
448,0.989875
449,0.9915
450,0.992675
451,0.99325
452,0.9938
453,0.994125
454,0.995475
455,0.994775
456,0.99535
457,0.996075
458,0.99735
459,0.9969
460,0.996975
461,0.99765
462,0.998025
463,0.99785
464,0.9981
465,0.998225
466,0.998475
467,0.998825
468,0.998625
469,0.999125
470,0.999175
471,0.999175
472,0.99915
473,0.999475
474,0.999725
475,0.999425
476,0.999475
477,0.999375
478,0.9994
479,0.99955
480,0.99965
481,0.999775
482,0.9997
483,0.999725
484,0.999775
485,0.999775
486,0.9999
487,0.9999
488,0.9999
489,0.99995
490,0.999875
491,0.9998
492,0.999825
493,0.999975
494,0.9999
495,0.999925
496,0.999925
497,0.99995
498,0.999875
499,0.999975
500,0.001425
501,0.002675
502,0.004825
503,0.007875
504,0.0105
505,0.01445
506,0.0218
507,0.0367
508,0.085625
509,0.18475
510,0.335775
511,0.50105
512,0.64185
513,0.747125
514,0.8068
515,0.83795
516,0.85655
517,0.868025
518,0.8768
519,0.885125
520,0.894025
521,0.901625
522,0.90885
523,0.914225
524,0.920825
525,0.927425
526,0.93035
527,0.937725
528,0.9396
529,0.94695
530,0.950875
531,0.9546
532,0.957925
533,0.963175
534,0.965275
535,0.96815
536,0.96995
537,0.973675
538,0.9751
539,0.978
540,0.979625
541,0.98195
542,0.983375
543,0.98415
544,0.986075
545,0.987925
546,0.9887
547,0.989625
548,0.990675
549,0.992975
550,0.992775
551,0.9932
552,0.9937
553,0.995125
554,0.995725
555,0.9956
556,0.99595
557,0.9964
558,0.9964
559,0.99755
560,0.997125
561,0.997475
562,0.99805
563,0.9978
564,0.998175
565,0.998325
566,0.9987
567,0.998875
568,0.998775
569,0.999125
570,0.99885
571,0.9991
572,0.9991
573,0.9993
574,0.999475
575,0.99945
576,0.999675
577,0.999475
578,0.999575
579,0.9997
580,0.999725
581,0.999825
582,0.9998
